tag,status,wall_s,final_step,success_rate,block,config,seed,attempt,finished_at,error
MCC-6_seed1,ok,1928.3,401408,0.0,headline,configs/headline/MCC-6.yaml,1,1,2026-08-07T11:59:33,
MCC-6_seed1000,ok,1959.3,401408,0.0,headline,configs/headline/MCC-6.yaml,1000,1,2026-08-07T12:00:05,
MCC-6_seed0,ok,1964.0,401408,0.0,headline,configs/headline/MCC-6.yaml,0,1,2026-08-07T12:00:09,
TLI-2_seed0,ok,2493.6,499712,0.0,headline,configs/headline/TLI-2.yaml,0,1,2026-08-07T12:08:59,
TLI-2_seed1000,ok,2498.8,499712,0.0,headline,configs/headline/TLI-2.yaml,1000,1,2026-08-07T12:09:03,
TLI-2_seed1,ok,2519.4,499712,0.0,headline,configs/headline/TLI-2.yaml,1,1,2026-08-07T12:09:25,
TLI-1_seed0,ok,3247.0,659456,0.0,headline,configs/headline/TLI-1.yaml,0,1,2026-08-07T12:21:32,
TLI-1_seed1000,ok,3278.8,659456,0.0,headline,configs/headline/TLI-1.yaml,1000,1,2026-08-07T12:22:04,
TLI-1_seed1,ok,3345.1,659456,0.0,headline,configs/headline/TLI-1.yaml,1,1,2026-08-07T12:23:10,
no_lstm_tli_seed0,ok,3431.0,798720,0.0,ablation,configs/ablation/no_lstm_tli.yaml,0,1,2026-08-07T12:24:36,
no_lstm_tli_seed1,ok,3467.6,798720,0.0,ablation,configs/ablation/no_lstm_tli.yaml,1,1,2026-08-07T12:25:13,
no_lstm_tli_seed1000,ok,3497.8,798720,0.0,ablation,configs/ablation/no_lstm_tli.yaml,1000,1,2026-08-07T12:25:43,
TLI-4_seed1,ok,3583.2,798720,0.0,headline,configs/headline/TLI-4.yaml,1,1,2026-08-07T12:27:09,
TLI-4_seed0,ok,3617.8,798720,0.0,headline,configs/headline/TLI-4.yaml,0,1,2026-08-07T12:27:43,
tausweep_tli_d0.65_seed1000,ok,3635.5,798720,0.0,ablation,configs/ablation/tausweep_tli_d0.65.yaml,1000,1,2026-08-07T12:28:01,
TLI-4_seed1000,ok,3637.4,798720,0.0,headline,configs/headline/TLI-4.yaml,1000,1,2026-08-07T12:28:03,
tausweep_tli_d0.7_seed1000,ok,3768.8,798720,0.0,ablation,configs/ablation/tausweep_tli_d0.7.yaml,1000,1,2026-08-07T12:30:13,
no_tau_tli_seed1000,ok,3824.6,798720,0.0,ablation,configs/ablation/no_tau_tli.yaml,1000,1,2026-08-07T12:31:09,
no_tau_tli_seed1,ok,3862.2,798720,0.0,ablation,configs/ablation/no_tau_tli.yaml,1,1,2026-08-07T12:31:47,
TLI-3_seed1,ok,3883.8,798720,0.0,headline,configs/headline/TLI-3.yaml,1,1,2026-08-07T12:32:09,
no_tau_tli_seed0,ok,3883.5,798720,0.0,ablation,configs/ablation/no_tau_tli.yaml,0,1,2026-08-07T12:32:09,
TLI-3_seed0,ok,3926.5,798720,0.0,headline,configs/headline/TLI-3.yaml,0,1,2026-08-07T12:32:51,
no_time_discount_tli_seed0,ok,3933.8,798720,0.0,ablation,configs/ablation/no_time_discount_tli.yaml,0,1,2026-08-07T12:32:59,
no_time_discount_tli_seed1000,ok,3947.5,798720,0.0,ablation,configs/ablation/no_time_discount_tli.yaml,1000,1,2026-08-07T12:33:13,
no_time_discount_tli_seed1,ok,3949.9,798720,0.0,ablation,configs/ablation/no_time_discount_tli.yaml,1,1,2026-08-07T12:33:15,
