policy,agent,stage,success,reward_sum,dv_used,ballistic_tli_corridor_hit,flyby_done,n_burns,min_rM,term_reason
Model__stage01_step00065536_R96.04_SR1.000_LD0.02750_CM0.00000__2026-08-07_11-39-53.zip,mcc,ppo_b_dv_refine_final,True,92.54408887638473,0.03407626354620422,False,True,4,0.02749964495557738,success
Model__stage01_step00102400_R94.46_SR1.000_LD0.05583_CM0.00000__2026-08-07_11-48-21.zip,mcc,ppo_b_dv_refine_final,True,90.57015227022595,0.03792965071910107,False,True,5,0.055829990473274325,success
Model__stage01_step00094208_R94.11_SR1.000_LD0.05971_CM0.00000__2026-08-07_11-46-27.zip,mcc,ppo_b_dv_refine_final,True,90.13663898424127,0.038775926394967096,False,True,5,0.05971344977142814,success
Model__stage03_step00524288_R89.98_SR1.000_LD0.04167_CM0.00000__2026-08-07_13-02-35.zip,mcc,ppo_b_dv_refine_final,True,89.97718311016189,0.03908720549982966,False,True,5,0.04167036437991392,success
Model__stage01_step00081920_R93.78_SR1.000_LD0.04210_CM0.00000__2026-08-07_11-43-36.zip,mcc,ppo_b_dv_refine_final,True,89.7228317600631,0.039583733213446035,False,True,5,0.04209716966747479,success
Model__stage01_step00098304_R93.76_SR1.000_LD0.05747_CM0.00000__2026-08-07_11-47-24.zip,mcc,ppo_b_dv_refine_final,True,89.70531791092289,0.03961792257971765,False,True,5,0.05747147981733782,success
Model__stage01_step00086016_R93.74_SR1.000_LD0.04869_CM0.00000__2026-08-07_11-44-33.zip,mcc,ppo_b_dv_refine_final,True,89.67368107220767,0.039679681902745484,False,True,5,0.04868663636672364,success
Model__stage03_step00520192_R89.60_SR1.000_LD0.04196_CM0.00000__2026-08-07_13-02-00.zip,mcc,ppo_b_dv_refine_final,True,89.59643521243979,0.039830476109742934,False,True,5,0.04196303344784821,success
Model__stage01_step00061440_R93.61_SR1.000_LD0.03134_CM0.00000__2026-08-07_11-38-53.zip,mcc,ppo_b_dv_refine_final,True,89.50735317024544,0.040004376121352304,False,True,5,0.03133596905451134,success
Model__stage01_step00077824_R93.57_SR1.000_LD0.04094_CM0.00000__2026-08-07_11-42-44.zip,mcc,ppo_b_dv_refine_final,True,89.4660088791878,0.04008508568433269,False,True,5,0.04094431778200591,success
Model__stage03_step00483328_R89.13_SR1.000_LD0.04093_CM0.00000__2026-08-07_12-56-46.zip,mcc,ppo_b_dv_refine_final,True,89.13266012682303,0.04073582684919874,False,True,5,0.040929015492419965,success
Model__stage03_step00475136_R89.02_SR1.000_LD0.04213_CM0.00000__2026-08-07_12-55-37.zip,mcc,ppo_b_dv_refine_final,True,89.01564058437262,0.040964264582431825,False,True,5,0.0421320874967673,success
Model__stage01_step00090112_R93.19_SR1.000_LD0.05058_CM0.00000__2026-08-07_11-45-29.zip,mcc,ppo_b_dv_refine_final,True,88.99015350814983,0.04101401874995936,False,True,5,0.05058200315276033,success
Model__stage03_step00516096_R88.98_SR1.000_LD0.04109_CM0.00000__2026-08-07_13-01-24.zip,mcc,ppo_b_dv_refine_final,True,88.98280583208458,0.041028362392309406,False,True,5,0.04108835064882286,success
Model__stage03_step00528384_R88.91_SR1.000_LD0.04066_CM0.00000__2026-08-07_13-03-08.zip,mcc,ppo_b_dv_refine_final,True,88.90941944842395,0.041171622387884174,False,True,5,0.04065989134489084,success
Model__stage02_step00217088_R91.61_SR1.000_LD0.05251_CM0.00000__2026-08-07_12-13-16.zip,mcc,ppo_b_dv_refine_final,True,88.7774532316767,0.041429238020160776,False,True,5,0.05250841269377821,success
