policy,agent,stage,success,reward_sum,dv_used,ballistic_tli_corridor_hit,flyby_done,n_burns,min_rM,term_reason
Model__stage01_step00221184_R139.38_SR1.000_LD0.00944_CM0.00000__2026-08-07_11-45-58.zip,tli,ppo_a_stage_3_staged_tli_refinment,True,139.37531737773153,3.1234131113423516,True,False,8,1.0043745325279332,tli_only_done
Model__stage01_step00286720_R139.38_SR1.000_LD0.00914_CM0.00000__2026-08-07_11-51-21.zip,tli,ppo_a_stage_3_staged_tli_refinment,True,139.37531737773153,3.123413111342352,True,False,8,1.0043335787434293,tli_only_done
Model__stage01_step00307200_R139.38_SR1.000_LD0.00968_CM0.00000__2026-08-07_11-53-07.zip,tli,ppo_a_stage_3_staged_tli_refinment,True,139.37531737773153,3.123413111342352,True,False,8,1.004357397838032,tli_only_done
Model__stage01_step00311296_R139.38_SR1.000_LD0.00917_CM0.00000__2026-08-07_11-53-33.zip,tli,ppo_a_stage_3_staged_tli_refinment,True,139.37531737773153,3.123413111342352,True,False,8,1.0043503381678907,tli_only_done
Model__stage01_step00327680_R139.38_SR1.000_LD0.01044_CM0.00000__2026-08-07_11-54-59.zip,tli,ppo_a_stage_3_staged_tli_refinment,True,139.37531737773153,3.1234131113423516,True,False,8,1.0043794935290702,tli_only_done
Model__stage01_step00389120_R139.38_SR1.000_LD0.00981_CM0.00000__2026-08-07_12-00-16.zip,tli,ppo_a_stage_3_staged_tli_refinment,True,139.37531737773153,3.1234131113423516,True,False,8,1.0043591164720715,tli_only_done
Model__stage02_step00401408_R139.38_SR1.000_LD0.00872_CM0.00000__2026-08-07_12-01-21.zip,tli,ppo_a_stage_3_staged_tli_refinment,True,139.37531737773153,3.1234131113423516,True,False,8,1.0043403153852308,tli_only_done
Model__stage02_step00430080_R139.38_SR1.000_LD0.01072_CM0.00000__2026-08-07_12-03-47.zip,tli,ppo_a_stage_3_staged_tli_refinment,True,139.37531737773153,3.1234131113423516,True,False,8,1.0043836610300254,tli_only_done
Model__stage02_step00454656_R139.38_SR1.000_LD0.00872_CM0.00000__2026-08-07_12-05-47.zip,tli,ppo_a_stage_3_staged_tli_refinment,True,139.37531737773153,3.1234131113423516,True,False,8,1.0043494242021798,tli_only_done
Model__stage02_step00503808_R139.38_SR1.000_LD0.00851_CM0.00000__2026-08-07_12-09-48.zip,tli,ppo_a_stage_3_staged_tli_refinment,True,139.37531737773153,3.123413111342352,True,False,8,1.004338623217367,tli_only_done
Model__stage02_step00512000_R139.38_SR1.000_LD0.00735_CM0.00000__2026-08-07_12-10-30.zip,tli,ppo_a_stage_3_staged_tli_refinment,True,139.37531737773153,3.1234131113423516,True,False,8,1.0043202600315013,tli_only_done
Model__stage02_step00528384_R139.38_SR1.000_LD0.00976_CM0.00000__2026-08-07_12-11-51.zip,tli,ppo_a_stage_3_staged_tli_refinment,True,139.37531737773153,3.123413111342352,True,False,8,1.0043647375705957,tli_only_done
Model__stage02_step00532480_R139.38_SR1.000_LD0.00792_CM0.00000__2026-08-07_12-12-14.zip,tli,ppo_a_stage_3_staged_tli_refinment,True,139.37531737773153,3.1234131113423516,True,False,8,1.0043275076505507,tli_only_done
Model__stage02_step00552960_R139.38_SR1.000_LD0.00755_CM0.00000__2026-08-07_12-13-57.zip,tli,ppo_a_stage_3_staged_tli_refinment,True,139.37531737773153,3.1234131113423516,True,False,8,1.0043021624217607,tli_only_done
Model__stage02_step00581632_R139.38_SR1.000_LD0.00743_CM0.00000__2026-08-07_12-16-11.zip,tli,ppo_a_stage_3_staged_tli_refinment,True,139.37531737773153,3.123413111342352,True,False,8,1.0042867307729255,tli_only_done
Model__stage03_step00602112_R139.38_SR1.000_LD0.00741_CM0.00000__2026-08-07_12-17-56.zip,tli,ppo_a_stage_3_staged_tli_refinment,True,139.37531737773153,3.1234131113423516,True,False,8,1.0042943651478426,tli_only_done
