policy,agent,stage,success,reward_sum,dv_used,ballistic_tli_corridor_hit,flyby_done,n_burns,min_rM,term_reason
Model__stage03_step00524288_R89.74_SR1.000_LD0.04296_CM0.00000__2026-08-07_12-59-30.zip,mcc,ppo_b_dv_refine_final,True,89.73846751649924,0.03955321013428453,False,True,5,0.04296018034818156,success
Model__stage03_step00536576_R89.32_SR1.000_LD0.04262_CM0.00000__2026-08-07_13-01-10.zip,mcc,ppo_b_dv_refine_final,True,89.32193134356734,0.04036634422421194,False,True,5,0.04262059858349457,success
Model__stage03_step00552960_R89.11_SR1.000_LD0.04140_CM0.00000__2026-08-07_13-03-17.zip,mcc,ppo_b_dv_refine_final,True,89.10563986584602,0.040788573997578424,False,True,5,0.041401841088672585,success
Model__stage03_step00577536_R89.10_SR1.000_LD0.03958_CM0.00000__2026-08-07_13-06-27.zip,mcc,ppo_b_dv_refine_final,True,89.10271769893836,0.040794278456598984,False,True,5,0.039584867706552056,success
Model__stage03_step00557056_R89.06_SR1.000_LD0.04119_CM0.00000__2026-08-07_13-03-50.zip,mcc,ppo_b_dv_refine_final,True,89.05731471428889,0.040882911130066625,False,True,5,0.04119167056371972,success
Model__stage01_step00069632_R93.09_SR1.000_LD0.04879_CM0.00000__2026-08-07_11-40-07.zip,mcc,ppo_b_dv_refine_final,True,88.86059270344583,0.04126693869753969,False,True,5,0.04878827243632355,success
Model__stage03_step00532480_R88.83_SR1.000_LD0.04100_CM0.00000__2026-08-07_13-00-37.zip,mcc,ppo_b_dv_refine_final,True,88.8323752933037,0.041322022840543475,False,True,5,0.0409996172779843,success
Model__stage03_step00520192_R88.66_SR1.000_LD0.04275_CM0.00000__2026-08-07_12-58-57.zip,mcc,ppo_b_dv_refine_final,True,88.66058285985677,0.041657384552454414,False,True,5,0.042751337532343316,success
Model__stage03_step00528384_R88.63_SR1.000_LD0.04275_CM0.00000__2026-08-07_13-00-04.zip,mcc,ppo_b_dv_refine_final,True,88.62910790526479,0.041718827856111605,False,True,5,0.042749948515693484,success
Model__stage03_step00548864_R88.62_SR1.000_LD0.04230_CM0.00000__2026-08-07_13-02-45.zip,mcc,ppo_b_dv_refine_final,True,88.61639052563768,0.04174365387502988,False,True,5,0.04229659494791661,success
Model__stage03_step00561152_R88.61_SR1.000_LD0.04151_CM0.00000__2026-08-07_13-04-21.zip,mcc,ppo_b_dv_refine_final,True,88.60701280225479,0.04176196044013529,False,True,5,0.04150935586659485,success
Model__stage03_step00540672_R88.59_SR1.000_LD0.04298_CM0.00000__2026-08-07_13-01-41.zip,mcc,ppo_b_dv_refine_final,True,88.59194864372833,0.04179136768404333,False,True,5,0.04298289849614861,success
