policy,agent,stage,success,reward_sum,dv_used,ballistic_tli_corridor_hit,flyby_done,n_burns,min_rM,term_reason
Model__stage01_step00184320_R2.79_SR0.000_LD0.03615_CM0.90992__2026-08-07_11-59-49.zip,mcc,ppo_b_dv_refine_final,False,0.9703072921955975,0.017713025877623464,False,True,10,0.03615352605564759,timeout
Model__stage01_step00176128_R2.50_SR0.000_LD0.04438_CM0.69521__2026-08-07_11-58-23.zip,mcc,ppo_b_dv_refine_final,False,0.5967972854804948,0.01857640363787601,False,True,10,0.044376206778123164,timeout
Model__stage03_step00438272_R0.35_SR0.000_LD0.01637_CM1.04174__2026-08-07_12-35-39.zip,mcc,ppo_b_dv_refine_final,False,0.3473219545089137,0.018896798953153552,False,True,10,0.016372219597598672,timeout
Model__stage03_step00434176_R-0.02_SR0.000_LD0.01883_CM1.02985__2026-08-07_12-35-17.zip,mcc,ppo_b_dv_refine_final,False,-0.022977351827211834,0.019621864260544793,False,True,10,0.018828691766553243,timeout
Model__stage03_step00405504_R-0.22_SR0.000_LD0.01902_CM1.02939__2026-08-07_12-32-46.zip,mcc,ppo_b_dv_refine_final,False,-0.21542788265366575,0.019997640248558404,False,True,10,0.019019960165717328,timeout
Model__stage03_step00409600_R-0.65_SR0.000_LD0.01783_CM1.03496__2026-08-07_12-33-06.zip,mcc,ppo_b_dv_refine_final,False,-0.6466798688230071,0.020838458029148556,False,True,10,0.017832965724751598,timeout
Model__stage03_step00442368_R-0.65_SR0.000_LD0.01384_CM1.05469__2026-08-07_12-36-03.zip,mcc,ppo_b_dv_refine_final,False,-0.6513486645012403,0.020844073572785175,False,True,10,0.01384347477543501,timeout
Model__stage01_step00180224_R1.32_SR0.000_LD0.03999_CM0.81355__2026-08-07_11-59-08.zip,mcc,ppo_b_dv_refine_final,False,-0.8679266121979623,0.021342661260496415,False,True,10,0.03998588717385778,timeout
_TEMP_STAGE_TRANSFER.zip,mcc,ppo_b_dv_refine_final,False,-0.9886949211022493,0.021504330859409764,False,True,10,0.01586705589187703,timeout
Model__stage02_step00303104_R0.30_SR0.000_LD0.03458_CM0.96303__2026-08-07_12-17-27.zip,mcc,ppo_b_dv_refine_final,False,-1.2001472731158511,0.02193458471601783,False,True,10,0.03458410142362966,timeout
