policy,agent,stage,success,reward_sum,dv_used,ballistic_tli_corridor_hit,flyby_done,n_burns,min_rM,term_reason
Model__stage03_step00798720_R85.94_SR0.000_LD0.03886_CM0.09742__2026-08-07_12-31-57.zip,tli,ppo_a_stage_3_staged_tli_refinment,False,85.93971200781213,3.123413111342352,False,False,8,1.0057992465796428,tli_only_done
PPOA__model_final__2026-08-07_12-32-04.zip,tli,ppo_a_stage_3_staged_tli_refinment,False,77.94208123578771,3.1234131113423516,False,False,8,1.005799062073627,tli_only_done
policy_FINAL_PPOA__model_final__2026-08-07_12-32-04.zip,tli,ppo_a_stage_3_staged_tli_refinment,False,77.94208123578771,3.1234131113423516,False,False,8,1.005799062073627,tli_only_done
Model__stage03_step00778240_R69.46_SR0.000_LD0.03903_CM0.11561__2026-08-07_12-30-29.zip,tli,ppo_a_stage_3_staged_tli_refinment,False,69.45990741122314,3.123413111342352,False,False,8,1.0057992991723304,tli_only_done
Model__stage03_step00782336_R55.44_SR0.000_LD0.03926_CM0.13676__2026-08-07_12-30-49.zip,tli,ppo_a_stage_3_staged_tli_refinment,False,55.439060787650504,3.1234131113423516,False,False,8,1.0057989501815763,tli_only_done
Model__stage03_step00749568_R39.41_SR0.000_LD0.03976_CM0.18309__2026-08-07_12-28-24.zip,tli,ppo_a_stage_3_staged_tli_refinment,False,39.41220008776961,3.1234131113423516,False,False,8,1.005799132425224,tli_only_done
Model__stage02_step00536576_R37.76_SR0.000_LD0.03979_CM0.19187__2026-08-07_12-11-22.zip,tli,ppo_a_stage_3_staged_tli_refinment,False,37.7608918530557,3.123413111342352,False,False,8,1.005800140991438,tli_only_done
Model__stage03_step00630784_R33.88_SR0.000_LD0.04011_CM0.22168__2026-08-07_12-19-11.zip,tli,ppo_a_stage_3_staged_tli_refinment,False,33.87970083292097,3.1234131113423516,False,False,8,1.005800835224718,tli_only_done
Model__stage03_step00790528_R33.14_SR0.000_LD0.04038_CM0.22991__2026-08-07_12-31-28.zip,tli,ppo_a_stage_3_staged_tli_refinment,False,33.14016348902205,3.123413111342352,False,False,8,1.0057984659260013,tli_only_done
Model__stage03_step00684032_R31.57_SR0.000_LD0.04056_CM0.25290__2026-08-07_12-23-24.zip,tli,ppo_a_stage_3_staged_tli_refinment,False,31.56619762522033,3.123413111342352,False,False,8,1.0058001987549563,tli_only_done
Model__stage02_step00532480_R31.40_SR0.000_LD0.04065_CM0.25592__2026-08-07_12-11-05.zip,tli,ppo_a_stage_3_staged_tli_refinment,False,31.402245447147724,3.123413111342352,False,False,8,1.005799528144068,tli_only_done
Model__stage03_step00643072_R31.29_SR0.000_LD0.04062_CM0.25816__2026-08-07_12-20-07.zip,tli,ppo_a_stage_3_staged_tli_refinment,False,31.28511118767371,3.1234131113423516,False,False,8,1.0058004282709678,tli_only_done
Model__stage03_step00679936_R31.28_SR0.000_LD0.04065_CM0.25833__2026-08-07_12-23-07.zip,tli,ppo_a_stage_3_staged_tli_refinment,False,31.27673157323162,3.123413111342352,False,False,8,1.0057999873303356,tli_only_done
Model__stage03_step00786432_R31.24_SR0.000_LD0.04080_CM0.25915__2026-08-07_12-31-07.zip,tli,ppo_a_stage_3_staged_tli_refinment,False,31.235297931203988,3.1234131113423516,False,False,8,1.0057980501053225,tli_only_done
policy_BEST_Model__stage03_step00786432_R31.24_SR0.000_LD0.04080_CM0.25915__2026-08-07_12-31-07.zip,tli,ppo_a_stage_3_staged_tli_refinment,False,31.235297931203988,3.1234131113423516,False,False,8,1.0057980501053225,tli_only_done
Model__stage03_step00745472_R30.82_SR0.000_LD0.04090_CM0.26810__2026-08-07_12-28-10.zip,tli,ppo_a_stage_3_staged_tli_refinment,False,30.815976307488327,3.1234131113423516,False,False,8,1.0057983900125038,tli_only_done
