policy,agent,stage,success,reward_sum,dv_used,ballistic_tli_corridor_hit,flyby_done,n_burns,min_rM,term_reason
Model__stage01_step00143360_R-23.40_SR0.000_LD0.00811_CM0.31663__2026-08-07_11-54-03.zip,mcc,ppo_b_dv_refine_final,False,-32.180232137902415,0.08573730284333866,False,True,24,0.008110514527954395,timeout
Model__stage01_step00139264_R-26.91_SR0.000_LD0.00875_CM0.28399__2026-08-07_11-53-10.zip,mcc,ppo_b_dv_refine_final,False,-36.77505270363548,0.09624121257482314,False,True,24,0.00874880393995687,timeout
Model__stage01_step00114688_R-34.64_SR0.000_LD0.00444_CMnan__2026-08-07_11-48-01.zip,mcc,ppo_b_dv_refine_final,False,-38.306056906402176,0.03573586134902235,False,True,3,0.004439890695925184,moon_impact
Model__stage01_step00061440_R-28.88_SR0.000_LD0.03935_CM0.79362__2026-08-07_11-37-31.zip,mcc,ppo_b_dv_refine_final,False,-38.61602015373471,0.09504348035247309,False,True,28,0.03935343818069748,timeout
Model__stage01_step00110592_R-35.62_SR0.000_LD0.00444_CMnan__2026-08-07_11-47-12.zip,mcc,ppo_b_dv_refine_final,False,-39.523448967787914,0.038112372802882544,False,True,3,0.004436936430080845,moon_impact
Model__stage01_step00098304_R-36.38_SR0.000_LD0.00444_CMnan__2026-08-07_11-44-41.zip,mcc,ppo_b_dv_refine_final,False,-40.4726351909369,0.03996531073693821,False,True,4,0.004443213453025633,moon_impact
Model__stage01_step00122880_R-36.58_SR0.000_LD0.00447_CMnan__2026-08-07_11-49-41.zip,mcc,ppo_b_dv_refine_final,False,-40.72052426153611,0.04044922322023074,False,True,3,0.004469419912947639,moon_impact
Model__stage01_step00106496_R-36.65_SR0.000_LD0.00439_CMnan__2026-08-07_11-46-23.zip,mcc,ppo_b_dv_refine_final,False,-40.81797548283332,0.04063946098417827,False,True,4,0.004394285466043957,moon_impact
Model__stage01_step00126976_R-36.66_SR0.000_LD0.00446_CMnan__2026-08-07_11-50-33.zip,mcc,ppo_b_dv_refine_final,False,-40.82143160256865,0.04064620779023809,False,True,3,0.004461599682717187,moon_impact
Model__stage01_step00118784_R-37.17_SR0.000_LD0.00415_CMnan__2026-08-07_11-48-49.zip,mcc,ppo_b_dv_refine_final,False,-41.4681585320804,0.04190870489717256,False,True,3,0.004149366780728826,moon_impact
Model__stage01_step00102400_R-37.69_SR0.000_LD0.00450_CMnan__2026-08-07_11-45-33.zip,mcc,ppo_b_dv_refine_final,False,-42.115156479660996,0.04317173106747559,False,True,4,0.004496776988695161,moon_impact
Model__stage02_step00204800_R-40.06_SR0.000_LD0.00426_CMnan__2026-08-07_12-06-59.zip,mcc,ppo_b_dv_refine_final,False,-43.140976406365596,0.04517426819806646,False,True,3,0.004258175307285073,moon_impact
