policy,agent,stage,success,reward_sum,dv_used,ballistic_tli_corridor_hit,flyby_done,n_burns,min_rM,term_reason
Model__stage01_step00229376_R139.38_SR1.000_LD0.01008_CM0.00000__2026-08-07_11-46-11.zip,tli,ppo_a_stage_3_staged_tli_refinment,True,139.37531737773153,3.1234131113423516,True,False,8,1.0043616633504044,tli_only_done
Model__stage01_step00249856_R139.38_SR1.000_LD0.00748_CM0.00000__2026-08-07_11-47-56.zip,tli,ppo_a_stage_3_staged_tli_refinment,True,139.37531737773153,3.1234131113423516,True,False,8,1.0042927287400187,tli_only_done
Model__stage01_step00253952_R139.38_SR1.000_LD0.00790_CM0.00000__2026-08-07_11-48-22.zip,tli,ppo_a_stage_3_staged_tli_refinment,True,139.37531737773153,3.123413111342352,True,False,8,1.0042939097399393,tli_only_done
Model__stage01_step00303104_R139.38_SR1.000_LD0.00930_CM0.00000__2026-08-07_11-52-28.zip,tli,ppo_a_stage_3_staged_tli_refinment,True,139.37531737773153,3.1234131113423516,True,False,8,1.0043213827870134,tli_only_done
Model__stage01_step00311296_R139.38_SR1.000_LD0.01073_CM0.00000__2026-08-07_11-53-13.zip,tli,ppo_a_stage_3_staged_tli_refinment,True,139.37531737773153,3.1234131113423516,True,False,8,1.0043718024357309,tli_only_done
Model__stage01_step00364544_R139.38_SR1.000_LD0.00935_CM0.00000__2026-08-07_11-57-32.zip,tli,ppo_a_stage_3_staged_tli_refinment,True,139.37531737773153,3.1234131113423516,True,False,8,1.0043727087651337,tli_only_done
Model__stage01_step00372736_R139.38_SR1.000_LD0.01035_CM0.00000__2026-08-07_11-58-15.zip,tli,ppo_a_stage_3_staged_tli_refinment,True,139.37531737773153,3.123413111342352,True,False,8,1.0043918733051418,tli_only_done
Model__stage01_step00397312_R139.38_SR1.000_LD0.01097_CM0.00000__2026-08-07_12-00-27.zip,tli,ppo_a_stage_3_staged_tli_refinment,True,139.37531737773153,3.123413111342352,True,False,8,1.0043935358109903,tli_only_done
Model__stage02_step00430080_R139.38_SR1.000_LD0.01010_CM0.00000__2026-08-07_12-03-11.zip,tli,ppo_a_stage_3_staged_tli_refinment,True,139.37531737773153,3.1234131113423516,True,False,8,1.0043712464211572,tli_only_done
Model__stage02_step00495616_R139.38_SR1.000_LD0.00997_CM0.00000__2026-08-07_12-08-25.zip,tli,ppo_a_stage_3_staged_tli_refinment,True,139.37531737773153,3.123413111342352,True,False,8,1.0043646072180068,tli_only_done
Model__stage02_step00532480_R139.38_SR1.000_LD0.00986_CM0.00000__2026-08-07_12-11-23.zip,tli,ppo_a_stage_3_staged_tli_refinment,True,139.37531737773153,3.123413111342352,True,False,8,1.0043508194827377,tli_only_done
Model__stage02_step00536576_R139.38_SR1.000_LD0.00969_CM0.00000__2026-08-07_12-11-46.zip,tli,ppo_a_stage_3_staged_tli_refinment,True,139.37531737773153,3.1234131113423516,True,False,8,1.0043531406786375,tli_only_done
Model__stage02_step00540672_R139.38_SR1.000_LD0.00901_CM0.00000__2026-08-07_12-12-09.zip,tli,ppo_a_stage_3_staged_tli_refinment,True,139.37531737773153,3.1234131113423516,True,False,8,1.0043321717123552,tli_only_done
Model__stage02_step00557056_R139.38_SR1.000_LD0.00797_CM0.00000__2026-08-07_12-13-34.zip,tli,ppo_a_stage_3_staged_tli_refinment,True,139.37531737773153,3.123413111342352,True,False,8,1.004305948913533,tli_only_done
Model__stage02_step00581632_R139.38_SR1.000_LD0.00788_CM0.00000__2026-08-07_12-15-31.zip,tli,ppo_a_stage_3_staged_tli_refinment,True,139.37531737773153,3.1234131113423516,True,False,8,1.0043143030163066,tli_only_done
Model__stage02_step00585728_R139.38_SR1.000_LD0.00856_CM0.00000__2026-08-07_12-15-54.zip,tli,ppo_a_stage_3_staged_tli_refinment,True,139.37531737773153,3.1234131113423516,True,False,8,1.0043270251916168,tli_only_done
Model__stage03_step00614400_R139.38_SR1.000_LD0.01021_CM0.00000__2026-08-07_12-18-17.zip,tli,ppo_a_stage_3_staged_tli_refinment,True,139.37531737773153,3.123413111342352,True,False,8,1.0043544398346946,tli_only_done
Model__stage03_step00618496_R139.38_SR1.000_LD0.00742_CM0.00000__2026-08-07_12-18-40.zip,tli,ppo_a_stage_3_staged_tli_refinment,True,139.37531737773153,3.1234131113423516,True,False,8,1.00429420235475,tli_only_done
Model__stage03_step00634880_R139.38_SR1.000_LD0.01082_CM0.00000__2026-08-07_12-20-00.zip,tli,ppo_a_stage_3_staged_tli_refinment,True,139.37531737773153,3.123413111342352,True,False,8,1.004371090004157,tli_only_done
