policy,agent,stage,success,reward_sum,dv_used,ballistic_tli_corridor_hit,flyby_done,n_burns,min_rM,term_reason
Model__stage01_step00167936_R-81.03_SR0.000_LD0.87553_CMnan__2026-08-07_11-58-45.zip,mcc,ppo_b_dv_refine_final,False,-91.28854334818118,0.10012206797209981,False,False,16,0.8755309727805907,dv_budget_exceeded
Model__stage01_step00155648_R-81.06_SR0.000_LD0.85884_CMnan__2026-08-07_11-56-24.zip,mcc,ppo_b_dv_refine_final,False,-91.32623206758683,0.1001956413723131,False,False,21,0.8588411091135795,dv_budget_exceeded
Model__stage03_step00532480_R-91.33_SR0.000_LD0.87881_CMnan__2026-08-07_12-53-53.zip,mcc,ppo_b_dv_refine_final,False,-91.3298960074817,0.10020279387100488,False,False,15,0.8788141032662051,dv_budget_exceeded
Model__stage01_step00147456_R-81.07_SR0.000_LD0.85307_CMnan__2026-08-07_11-54-50.zip,mcc,ppo_b_dv_refine_final,False,-91.33345826696798,0.10020974787599579,False,False,23,0.8530737595731273,dv_budget_exceeded
Model__stage03_step00589824_R-91.35_SR0.000_LD0.90453_CMnan__2026-08-07_13-01-07.zip,mcc,ppo_b_dv_refine_final,False,-91.34699341120282,0.10023617028035013,False,False,9,0.9045334459394478,dv_budget_exceeded
policy_BEST_Model__stage03_step00589824_R-91.35_SR0.000_LD0.90453_CMnan__2026-08-07_13-01-07.zip,mcc,ppo_b_dv_refine_final,False,-91.34699341120282,0.10023617028035013,False,False,9,0.9045334459394478,dv_budget_exceeded
Model__stage02_step00315392_R-84.51_SR0.000_LD0.89545_CMnan__2026-08-07_12-25-05.zip,mcc,ppo_b_dv_refine_final,False,-91.36066665795917,0.10026286227922102,False,False,11,0.8954458478458959,dv_budget_exceeded
Model__stage02_step00356352_R-84.52_SR0.000_LD0.88671_CMnan__2026-08-07_12-32-10.zip,mcc,ppo_b_dv_refine_final,False,-91.36584764806273,0.10027297626198303,False,False,13,0.8867129551530594,dv_budget_exceeded
Model__stage01_step00040960_R-81.12_SR0.000_LD0.83488_CMnan__2026-08-07_11-33-38.zip,mcc,ppo_b_dv_refine_final,False,-91.39884536050204,0.10033739219178131,False,False,29,0.8348766496577821,dv_budget_exceeded
Model__stage03_step00565248_R-91.40_SR0.000_LD0.90948_CMnan__2026-08-07_12-57-58.zip,mcc,ppo_b_dv_refine_final,False,-91.40401962831373,0.10034749305173422,False,False,8,0.9094832101204648,dv_budget_exceeded
Model__stage02_step00208896_R-84.56_SR0.000_LD0.89073_CMnan__2026-08-07_12-06-11.zip,mcc,ppo_b_dv_refine_final,False,-91.41469122291352,0.10036832542579165,False,False,12,0.8907277086674122,dv_budget_exceeded
Model__stage01_step00106496_R-81.14_SR0.000_LD0.85796_CMnan__2026-08-07_11-46-25.zip,mcc,ppo_b_dv_refine_final,False,-91.4268041571205,0.10039197148674095,False,False,21,0.8579556394459381,dv_budget_exceeded
