policy,agent,stage,success,reward_sum,dv_used,ballistic_tli_corridor_hit,flyby_done,n_burns,min_rM,term_reason
Model__stage01_step00004096_R76.39_SR1.000_LD0.03207_CM0.00035__2026-08-07_11-27-39.zip,tli,ppo_a_stage_3_staged_tli_refinment,False,41.39017853715795,3.049107314210226,True,False,60,1.0049045766786162,tli_only_done
Model__stage01_step00032768_R25.62_SR0.000_LD0.07877_CMnan__2026-08-07_11-30-01.zip,tli,ppo_a_stage_3_staged_tli_refinment,False,25.622438422971157,3.0792793351408876,False,False,8,1.0102866389392537,tli_only_done
Model__stage01_step00008192_R19.31_SR0.000_LD0.13494_CMnan__2026-08-07_11-27-59.zip,tli,ppo_a_stage_3_staged_tli_refinment,False,19.3114544063476,3.0702957893657126,False,False,22,1.008904949159037,tli_only_done
Model__stage03_step00749568_R19.02_SR0.000_LD0.04185_CM0.92965__2026-08-07_12-30-51.zip,tli,ppo_a_stage_3_staged_tli_refinment,False,19.021018103257965,3.1234131113423516,False,False,8,1.01029661436174,tli_only_done
Model__stage03_step00761856_R19.02_SR0.000_LD0.04194_CM0.92979__2026-08-07_12-31-57.zip,tli,ppo_a_stage_3_staged_tli_refinment,False,19.020994253344586,3.123413111342352,False,False,8,1.0102966251493588,tli_only_done
Model__stage03_step00757760_R19.02_SR0.000_LD0.04283_CM0.93089__2026-08-07_12-31-36.zip,tli,ppo_a_stage_3_staged_tli_refinment,False,19.020805829383075,3.1234131113423516,False,False,8,1.01029646557599,tli_only_done
Model__stage03_step00794624_R19.02_SR0.000_LD0.04285_CM0.93098__2026-08-07_12-34-22.zip,tli,ppo_a_stage_3_staged_tli_refinment,False,19.02079021797048,3.1234131113423516,False,False,8,1.010296322091209,tli_only_done
Model__stage03_step00765952_R19.02_SR0.000_LD0.04378_CM0.93217__2026-08-07_12-32-19.zip,tli,ppo_a_stage_3_staged_tli_refinment,False,19.020586598341684,3.123413111342352,False,False,8,1.0102962615270867,tli_only_done
Model__stage03_step00737280_R19.02_SR0.000_LD0.04381_CM0.93222__2026-08-07_12-29-48.zip,tli,ppo_a_stage_3_staged_tli_refinment,False,19.020579288962953,3.1234131113423516,False,False,8,1.0102962390294012,tli_only_done
Model__stage03_step00798720_R19.02_SR0.000_LD0.04413_CM0.93273__2026-08-07_12-34-37.zip,tli,ppo_a_stage_3_staged_tli_refinment,False,19.02049160433022,3.123413111342352,False,False,8,1.0102960731841488,tli_only_done
Model__stage03_step00774144_R19.02_SR0.000_LD0.04414_CM0.93277__2026-08-07_12-32-58.zip,tli,ppo_a_stage_3_staged_tli_refinment,False,19.020485359661716,3.123413111342352,False,False,8,1.0102961230303078,tli_only_done
Model__stage03_step00753664_R19.02_SR0.000_LD0.04416_CM0.93280__2026-08-07_12-31-13.zip,tli,ppo_a_stage_3_staged_tli_refinment,False,19.02048027058609,3.123413111342352,False,False,8,1.010296126405759,tli_only_done
Model__stage03_step00741376_R19.02_SR0.000_LD0.04436_CM0.93296__2026-08-07_12-30-07.zip,tli,ppo_a_stage_3_staged_tli_refinment,False,19.020453488984433,3.1234131113423516,False,False,8,1.0102961403429302,tli_only_done
