policy,agent,stage,success,reward_sum,dv_used,ballistic_tli_corridor_hit,flyby_done,n_burns,min_rM,term_reason
Model__stage01_step00049152_R139.38_SR1.000_LD0.02072_CM0.00000__2026-08-07_12-03-22.zip,tli,ppo_a_stage_3_staged_tli_refinment,True,139.37531737773153,3.1234131113423516,True,False,8,1.0007528652563706,tli_only_done
Model__stage01_step00327680_R139.38_SR1.000_LD0.01810_CM0.00000__2026-08-07_12-26-14.zip,tli,ppo_a_stage_3_staged_tli_refinment,True,139.37531737773153,3.1234131113423516,True,False,8,1.0008457566019544,tli_only_done
Model__stage01_step00331776_R139.38_SR1.000_LD0.01641_CM0.00000__2026-08-07_12-26-37.zip,tli,ppo_a_stage_3_staged_tli_refinment,True,139.37531737773153,3.1234131113423516,True,False,8,1.0008445479849541,tli_only_done
Model__stage01_step00364544_R139.38_SR1.000_LD0.01761_CM0.00000__2026-08-07_12-29-09.zip,tli,ppo_a_stage_3_staged_tli_refinment,True,139.37531737773153,3.123413111342352,True,False,8,1.0008385623702987,tli_only_done
Model__stage01_step00393216_R139.38_SR1.000_LD0.01875_CM0.00000__2026-08-07_12-31-15.zip,tli,ppo_a_stage_3_staged_tli_refinment,True,139.37531737773153,3.1234131113423516,True,False,8,1.0008285573230398,tli_only_done
Model__stage02_step00417792_R139.38_SR1.000_LD0.01674_CM0.00000__2026-08-07_12-32-59.zip,tli,ppo_a_stage_3_staged_tli_refinment,True,139.37531737773153,3.1234131113423516,True,False,8,1.0008376753791073,tli_only_done
Model__stage02_step00421888_R139.38_SR1.000_LD0.01628_CM0.00000__2026-08-07_12-33-21.zip,tli,ppo_a_stage_3_staged_tli_refinment,True,139.37531737773153,3.1234131113423516,True,False,8,1.0008346734542357,tli_only_done
Model__stage02_step00458752_R139.38_SR1.000_LD0.01741_CM0.00000__2026-08-07_12-35-36.zip,tli,ppo_a_stage_3_staged_tli_refinment,True,139.37531737773153,3.123413111342352,True,False,8,1.0008421081234267,tli_only_done
Model__stage02_step00487424_R139.38_SR1.000_LD0.02067_CM0.00000__2026-08-07_12-37-40.zip,tli,ppo_a_stage_3_staged_tli_refinment,True,139.37531737773153,3.1234131113423516,True,False,8,1.0008395551230564,tli_only_done
Model__stage02_step00524288_R139.38_SR1.000_LD0.01325_CM0.00000__2026-08-07_12-40-06.zip,tli,ppo_a_stage_3_staged_tli_refinment,True,139.37531737773153,3.1234131113423516,True,False,8,1.000834124405537,tli_only_done
Model__stage02_step00536576_R139.38_SR1.000_LD0.02167_CM0.00000__2026-08-07_12-41-02.zip,tli,ppo_a_stage_3_staged_tli_refinment,True,139.37531737773153,3.1234131113423516,True,False,8,1.0008319089073965,tli_only_done
Model__stage02_step00540672_R139.38_SR1.000_LD0.01558_CM0.00000__2026-08-07_12-41-21.zip,tli,ppo_a_stage_3_staged_tli_refinment,True,139.37531737773153,3.1234131113423516,True,False,8,1.0008373006420408,tli_only_done
Model__stage02_step00544768_R139.38_SR1.000_LD0.02234_CM0.00000__2026-08-07_12-41-40.zip,tli,ppo_a_stage_3_staged_tli_refinment,True,139.37531737773153,3.123413111342352,True,False,8,1.000836333935423,tli_only_done
Model__stage02_step00565248_R139.38_SR1.000_LD0.01888_CM0.00000__2026-08-07_12-42-50.zip,tli,ppo_a_stage_3_staged_tli_refinment,True,139.37531737773153,3.1234131113423516,True,False,8,1.0008365077404198,tli_only_done
Model__stage02_step00573440_R139.38_SR1.000_LD0.01392_CM0.00000__2026-08-07_12-43-20.zip,tli,ppo_a_stage_3_staged_tli_refinment,True,139.37531737773153,3.123413111342352,True,False,8,1.000842502366077,tli_only_done
Model__stage02_step00598016_R139.38_SR1.000_LD0.01827_CM0.00000__2026-08-07_12-44-45.zip,tli,ppo_a_stage_3_staged_tli_refinment,True,139.37531737773153,3.1234131113423516,True,False,8,1.0008414759115556,tli_only_done
Model__stage03_step00622592_R139.38_SR1.000_LD0.02156_CM0.00000__2026-08-07_12-46-09.zip,tli,ppo_a_stage_3_staged_tli_refinment,True,139.37531737773153,3.123413111342352,True,False,8,1.0008418849955838,tli_only_done
Model__stage03_step00688128_R139.38_SR1.000_LD0.01344_CM0.00000__2026-08-07_12-50-06.zip,tli,ppo_a_stage_3_staged_tli_refinment,True,139.37531737773153,3.1234131113423516,True,False,8,1.0008526436419976,tli_only_done
Model__stage03_step00704512_R139.38_SR1.000_LD0.01596_CM0.00000__2026-08-07_12-51-13.zip,tli,ppo_a_stage_3_staged_tli_refinment,True,139.37531737773153,3.1234131113423516,True,False,8,1.0008513927225569,tli_only_done
